New York*New York, NY, USA*40.71435280*-74.00597309999999
Los Angeles*Los Angeles, CA, USA*34.05223420*-118.24368490
Chicago*Chicago, IL, USA*41.87811360*-87.62979820
Houston*Houston, TX, USA*29.76019270*-95.36938959999999
Philadelphia*Philadelphia, PA, USA*39.9523350*-75.16378900000001
Phoenix*Phoenix, AZ, USA*33.44837710*-112.07403730
San Antonio*San Antonio, TX, USA*29.42412190*-98.49362819999999
San Diego*San Diego, CA, USA*32.71532920*-117.15725510
Dallas*Dallas, TX, USA*32.78013990*-96.80045109999999
San Jose*San Jose, CA, USA*37.33938570*-121.89495550
Jacksonville*Jacksonville, FL, USA*30.33218380*-81.65565099999999
Indianapolis*Indianapolis, IN, USA*39.7684030*-86.1580680
Austin*Austin, TX, USA*30.2671530*-97.74306079999999
San Francisco*San Francisco, CA, USA*37.77492950*-122.41941550
Columbus*Columbus, OH, USA*39.96117550*-82.99879419999999
Fort Worth*Fort Worth, TX, USA*32.7254090*-97.32084960
Charlotte*Charlotte, NC, USA*35.22708690*-80.84312670
Detroit*Detroit, MI, USA*42.3314270*-83.04575380
El Paso*El Paso, TX, USA*31.75871980*-106.48693140
Memphis*Memphis, TN, USA*35.14953430*-90.04898009999999
Boston*Boston, MA, USA*42.35843080*-71.05977320
Seattle*Seattle, WA, USA*47.60620950*-122.33207080
Denver*Denver, CO, USA*39.7375670*-104.98471790
Baltimore*Baltimore, MD, USA*39.29038480*-76.61218930
Washington*Washington, DC, USA*38.89511180*-77.03636580
Nashville*Nashville, TN, USA*36.16666670*-86.78333330
Louisville*Louisville, KY, USA*38.25266470*-85.75845570
Milwaukee*Milwaukee, WI, USA*43.03890250*-87.90647360
Portland*Portland, OR, USA*45.52345150*-122.67620710
Oklahoma City*Oklahoma City, OK, USA*35.46756020*-97.51642760
Las Vegas*Las Vegas, NV, USA*36.1146460*-115.1728160
Albuquerque*Albuquerque, NM, USA*35.1107030*-106.6099910
Tucson*Tucson, AZ, USA*32.22174290*-110.9264790
Fresno*Fresno, CA, USA*36.74684220*-119.77258680
Sacramento*Sacramento, CA, USA*38.58157190*-121.49439960
Long Beach*Long Beach, CA, USA*33.7683210*-118.19561680
Kansas City*Kansas City, MO, USA*39.09972650*-94.57856670
